Unnamed: 0,row ID,smiles,row m/z,match_id,match_smiles,pair_similarity,mps,pp,mps_pp,mcs
4101,27,O=C(C(NC/1=O)=C)NC1=C/C2=C(C(C)(C)C=C)NC3=CC=CC=C32,322.15625,CNP0005913,OCC1C(O)CC(N)C1CC2=NC(=NC=C2)C=3C=CC=CC3,0.295014188,4.0,0.108108108,4.0,0.351351351
16407,95,COC(=O)C12OC3C(C(=O)C1=C(O)CC(C)C2O)=C(O)C(C1C=CC2OC4(C(O)C(C)CC(O)=C4C(=O)C=2C=1O)C(=O)OC)=CC=3,661.1564941,NPA015596,CC1=CC(=C(C(=C1)OC2=C(C=C(C=C2C(=O)OC)O)OC)C(=O)OC3=CC(=CC4=C3C(=O)[C@@]5(O4)C(=CC(=O)C=C5OC)C(=O)OC)C)O,0.487466501,4.0,0.5,4.0,0.609375
4120,27,O=C(C(NC/1=O)=C)NC1=C/C2=C(C(C)(C)C=C)NC3=CC=CC=C32,322.15625,CNP0438443,O=C(NC1=NC=CS1)CC2CCN(C(=O)C3CC3)CC2CC,0.482552752,3.0,0.081081081,3.0,0.351351351
18469,6,COC1C=C(O)C=C2C=1C(C1C(O)=C3C(OC4(OC3CCC4)C)=CC=1C2=O)=O,405.0939636,CCMSLIB00005722043,CC1=CC(CC2(C)OC2COC3=C4OC(=O)C=CC4=CC5=C3OC=C5)OC1=O,0.963667631,1.0,0.333333333,1.0,0.641025641
14375,86,[C@]([H])12[C@@](C)(C)CCC[C@]1(C)[C@@H](CO)C(C)=CC2=O,237.1847382,CNP0296913,O=C(OCC(=CCCC(=C)C=C)C)CC(C)C,0.695628385,14.0,0.225806452,14.0,0.47826087
12331,78,CCCCC1C(OC)=CC(=O)OC=1C,219.0984192,NPA011276,CC(=O)N[C@@H]1[C@@H]([C@@H]([C@H](CN1)C(=O)O)O)O,0.736530006,1.0,0.5,1.0,0.705882353
12340,78,CCCCC1C(OC)=CC(=O)OC=1C,219.0984192,CNP0398447,O=C(O)CCC(NC(=O)C(N)C)C(=O)O,0.743288934,1.0,0.5,1.0,0.647058824
18486,59,[H][C@]12C(C)(CCC[C@@]1(C3(C(COC3=O)=C[C@H]2OC(/C=C/C=C/CC(C)O)=O)O)C)C,427.2095947,CCMSLIB00010110957,CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2C1=CC(=O)OC1,0.436499655,1.0,0.076923077,1.0,0.454545455
18489,59,[H][C@]12C(C)(CCC[C@@]1(C3(C(COC3=O)=C[C@H]2OC(/C=C/C=C/CC(C)O)=O)O)C)C,427.2095947,CCMSLIB00010124053,CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2C1=CC(=O)OC1,0.436499655,1.0,0.076923077,1.0,0.454545455
10297,67,CCCC(CC1OC(=O)C2C(=CC(=CC=2O)O)C1)O,267.1223145,CNP0238385,O=C(OCC=CC1=CC(OC)=C(OC)C(OC)=C1)C,0.51368029,20.0,0.23255814,20.0,0.444444444
