Unnamed: 0,row ID,smiles,row m/z,match_id,match_smiles,pair_similarity,mps,pp,mps_pp,mcs
9861,65,CCC[C@H](C[C@@H]1[C@@H](O)C2C(=C(C(=C(C=2)OC)OC)O)C(=O)O1)O,327.1458435,NPA011576,CCC[C@H](C[C@@H]1[C@@H](C2=CC(=C(C(=C2C(=O)O1)O)OC)OC)O)O,0.277377442,14.0,0.150537634,14.0,1.0
9867,65,CCC[C@H](C[C@@H]1[C@@H](O)C2C(=C(C(=C(C=2)OC)OC)O)C(=O)O1)O,327.1458435,NPA031792,CCC[C@H](O)C[C@H]1OC(=O)C2=C(O)C(OC)=C(OC)C=C2[C@@H]1O,0.277377442,14.0,0.150537634,14.0,1.0
18061,84,CCCC(C1C(OC)=CC(=O)OC=1C)O,235.0926056,CCMSLIB00006673895,CC(=O)NCC(=O)O,0.0,0.0,0.0,0.0,0.375
18063,84,CCCC(C1C(OC)=CC(=O)OC=1C)O,235.0926056,CCMSLIB00006673900,CC(=O)NCC(=O)O,0.0,0.0,0.0,0.0,0.375
9877,65,CCC[C@H](C[C@@H]1[C@@H](O)C2C(=C(C(=C(C=2)OC)OC)O)C(=O)O1)O,327.1458435,CNP0398388,OC1=CC=C(C=C1)C=CCOCC2OC(CO)C(O)C(O)C2O,0.488847869,21.0,0.225806452,21.0,0.454545455
9881,65,CCC[C@H](C[C@@H]1[C@@H](O)C2C(=C(C(=C(C=2)OC)OC)O)C(=O)O1)O,327.1458435,CNP0103108,OCC1OC(OC2=CC(=CC=C2OC)CC=C)C(O)C(O)C1O,0.334016452,12.0,0.129032258,12.0,0.655172414
9882,65,CCC[C@H](C[C@@H]1[C@@H](O)C2C(=C(C(=C(C=2)OC)OC)O)C(=O)O1)O,327.1458435,CNP0422082,OCC1OC(OC2=CC(OC)=CC=C2C=CC)C(O)C(O)C1O,0.289262604,13.0,0.139784946,13.0,0.714285714
1693,7,COC1C=CC=C2C=1C(C1C(O)=C3C(OC4C3CCO4)=CC=1O2)=O,327.0853577,CNP0203753,O=C1C2=CC(O)=C(O)C=C2OC3=CC=4OC(C=CC4C(O)=C13)(C)C,0.801541597,3.0,0.081081081,3.0,0.666666667
9885,65,CCC[C@H](C[C@@H]1[C@@H](O)C2C(=C(C(=C(C=2)OC)OC)O)C(=O)O1)O,327.1458435,CNP0075348,O=C1OC2C(=C1CO)CCC3C(O)CC(OC(=O)C)C(O)(C)C23,0.335377861,10.0,0.107526882,10.0,0.580645161
9891,65,CCC[C@H](C[C@@H]1[C@@H](O)C2C(=C(C(=C(C=2)OC)OC)O)C(=O)O1)O,327.1458435,CNP0000035,O=C(OC1C(=CC(=O)C(C)C1OC(=O)C)C2OC2C(O)(C)C)C,0.555341539,18.0,0.193548387,18.0,0.548387097
18085,45,CC(O[C@H](C(C)(C)[C@@H]1CC/C(C)=C/CC/C(C)=C/CC2=C(O)C=C(C)OC2=O)CCC1=C)=O,457.293396,CCMSLIB00000852717,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC[C@]4(C)O\C5=C(/C[C@@H]34)C(=O)\C=C(C)/O5)C1(C)C,0.975797351,35.0,0.714285714,35.0,0.290909091
18087,46,CC(O[C@H](C(C)(C)[C@@H]1CC/C(C)=C/CC/C(C)=C/CC2=C(O)C=C(C)OC2=O)CCC1=C)=O,479.2737122,CCMSLIB00000852719,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC[C@]4(C)O\C5=C(/C[C@@H]34)C(=O)\C=C(C)/O5)C1(C)C,0.514031731,2.0,0.333333333,2.0,0.290909091
1704,7,COC1C=CC=C2C=1C(C1C(O)=C3C(OC4C3CCO4)=CC=1O2)=O,327.0853577,CNP0310355,O=C1C=2C(O)=CC=C(O)C2OC3=C4C=CC(OC4=CC(O)=C13)(C)C,0.811375022,2.0,0.054054054,2.0,0.71875
18105,59,[H][C@]12C(C)(CCC[C@@]1(C3(C(COC3=O)=C[C@H]2OC(/C=C/C=C/CC(C)O)=O)O)C)C,427.2095947,CCMSLIB00005464580,CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O,0.435818404,1.0,0.076923077,1.0,0.575
18106,59,[H][C@]12C(C)(CCC[C@@]1(C3(C(COC3=O)=C[C@H]2OC(/C=C/C=C/CC(C)O)=O)O)C)C,427.2095947,CCMSLIB00010104867,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,0.436499655,1.0,0.076923077,1.0,0.575
18107,59,[H][C@]12C(C)(CCC[C@@]1(C3(C(COC3=O)=C[C@H]2OC(/C=C/C=C/CC(C)O)=O)O)C)C,427.2095947,CCMSLIB00010116202,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,0.436499655,1.0,0.076923077,1.0,0.575
18108,51,CCCCC[C@H](C1C(O)=CC2C(C3C(C(=O)C=2C=1O)=C(OC)C=C(OC)C=3)=O)O,423.142334,CCMSLIB00005721936,CC(=O)OCC(CO)C1C(=O)CC(C)(C=C)C12C(=O)OC3=CC=CC(C)=C3C2=O,0.837995455,2.0,0.333333333,2.0,0.631578947
18109,51,CCCCC[C@H](C1C(O)=CC2C(C3C(C(=O)C=2C=1O)=C(OC)C=C(OC)C=3)=O)O,423.142334,CCMSLIB00005721954,CC(=O)OCC(CO)C1C(=O)CC(C)(C=C)C12C(=O)OC3=CC=CC(C)=C3C2=O,0.748307705,2.0,0.333333333,2.0,0.631578947
18110,73,O=C1CC[C@@]2(C[C@@H](OC(/C(C)=CC)=O)[C@@]([C@@]3(C(O[C@H](C)[C@@]34C(O5)=O)=O)C([C@@]5(C)[C@H]6OC(C)=O)=O)(C)[C@]6(O4)C2=C)C(C)(C)O1,601.2318726,CCMSLIB00000840436,CC(=O)OCC1C(C(CC(O1)C2=C(C3=C(C=C2)C(=O)C4=C5C(=NC=C4C3=O)CCCC5=O)O)OC(=O)C)OC(=O)C,0.076831534,7.0,0.074468085,7.0,0.524590164
