Unnamed: 0,row ID,smiles,row m/z,match_id,match_smiles,pair_similarity,mps,pp,mps_pp,mcs
17924,37,O=C(CO)C1=CNC2=CC=CC=C21,176.0708618,CCMSLIB00006117623,c1ccc2c(c1)c(c[nH]2)CC(=O)O,0.954659003,3.0,0.272727273,3.0,0.866666667
17413,82,CCC(CC1C(OC)=CC(=O)OC=1C)O,235.0932159,CCMSLIB00009946603,C(CCCCCC(=O)O)CCCCC(=O)O,0.999872565,1.0,0.5,1.0,0.578947368
17414,84,CCCC(C1C(OC)=CC(=O)OC=1C)O,235.0926056,CCMSLIB00009946603,C(CCCCCC(=O)O)CCCCC(=O)O,0.999795556,1.0,0.333333333,1.0,0.578947368
17415,80,CCCCC1C(OC)=CC(=O)OC=1CO,235.0920563,CCMSLIB00009946603,C(CCCCCC(=O)O)CCCCC(=O)O,0.999697089,1.0,0.5,1.0,0.578947368
17416,81,CCC(CC1C(OC)=CC(=O)OC=1C)O,213.112381,CCMSLIB00009946582,C(CCCCCC(=O)O)CCCCC(=O)O,0.730507994,41.0,0.602941176,41.0,0.578947368
17417,79,CCCCC1C(OC)=CC(=O)OC=1CO,213.1111908,CCMSLIB00009946582,C(CCCCCC(=O)O)CCCCC(=O)O,0.710422017,45.0,0.5625,45.0,0.578947368
18954,9,[H][C@]12C3C(=CC(=C4C=3OC3C(=C(C=CC=3)O)C4=O)OC)O[C@@]1([H])OCC2,327.0848999,CCMSLIB00005771877,COC1=CC(=CC(=C1OC)OC)C2=C(C(=O)C3=CC=CC=C3O2)O,0.867731346,4.0,0.166666667,4.0,0.6875
3085,15,C=CC(C1NC2C=CC=CC=2C=1/C=C1/C(=O)N2C(=CCC2)C(=O)N/1)(C)C,348.1685181,CNP0129302,O=C1NC(=CC=2C=3C=CC=CC3NC2C(C=C)(C)C)C(=O)N4C1=CCC4,0.328029239,20.0,0.173913043,20.0,1.0
15376,89,O=C(C(NC/1=O)=O)NC1=C/C2=C(C(C)(C)C=C)NC3=CC=CC=C32,324.1347961,CNP0203801,O=C(NCC1OCC2=NC=C(C=3C=CC=CC3)N2C1)COC,0.396930545,7.0,0.2,7.0,0.351351351
4639,33,CC(C1=C2C(CO3)(C(C(O)=C4C5=C6C(C)=CC(O)=C5C(OC4)=O)=C6O7)C7(CC1=O)O)=CC(O)=C2C3=O,491.0977783,CMNPD27475,O=C1C[C@@](Oc(c(c2C)c(c3CO4)c(C4=O)c(c2)O)c5c3O)(O)[C@@]5(CO6)c(c17)c(C6=O)c(O)cc7C,0.784027852,2.0,0.051282051,2.0,1.0
17952,4,C(O)(=O)C1=CC=C([C@](O)(C)CCCC(C)=C)C(O)=C1,287.1239929,CCMSLIB00004715628,CC(=C)[C@H]1Cc2c(ccc3c2O[C@@H]4COc5cc(c(cc5[C@@H]4C3=O)OC)OC)O1,0.880850604,2.0,0.012903226,2.0,0.485714286
6695,51,CCCCC[C@H](C1C(O)=CC2C(C3C(C(=O)C=2C=1O)=C(OC)C=C(OC)C=3)=O)O,423.142334,CNP0198351,O=C1C(=CC=2C=CC=C3C2N1CCC3)C=4C=5OC6=C(C=CC(O)=C6C)C5N=C7NN=CC74,0.841483817,2.0,0.333333333,2.0,0.642857143
18983,64,CCC[C@@H]1O[C@](C)2[C@@](OC(C3C2=CC(OC)=C(OC)C=3O)=O)(C)C1,331.1141663,CCMSLIB00005722305,COC1=CC(OC)=C2C(=O)OC(CC(O)CC(C)O)=CC2=C1,0.998942137,1.0,0.25,1.0,0.75
