,id,pepmass,smiles
50,CCMSLIB00004722046,384.135,Cc1ccccc1CN2CCC(O)(CC2)c3ccc(Cl)c(c3)C(F)(F)F
51,CCMSLIB00004722047,428.238,CCCc1ccc(cc1)S(=O)(=O)Nc2ccc(CN3CCN(CC4CC4)CC3)cc2
52,CCMSLIB00004722048,331.311,CC(=CCC\C(=C/CNCCNC1C2CC3CC(CC1C3)C2)\C)C
53,CCMSLIB00004722049,340.167,CC(C)c1ccc(NC(=O)COC2=CC(=C(C#N)C(=O)N2C)C)cc1
54,CCMSLIB00004722050,313.099,Clc1ccc(CN2CCN(CC2)C3=NCCN3)cc1Cl
55,CCMSLIB00004722051,384.022,Oc1ccc(Cl)cc1C(=O)Nc2ccc(c(c2)C(F)(F)F)C(F)(F)F
56,CCMSLIB00004722052,385.249,COc1ccc(CN2CCOc3ccc(cc3C2)C(C)(O)CN(C)C)cc1C
57,CCMSLIB00004722053,423.221,CC1=C(F)C=CC=C1CN2CCCC(CC3=NC(C4=CC=C(NC(C)=O)C=C4)=NO3)C2
58,CCMSLIB00004722054,444.269,CCc1ccc(cc1)S(=O)(=O)Nc2cc(CN3CCN(CCC(C)C)CC3)ccc2C
59,CCMSLIB00004722055,352.178,O=C(N1CC(C2=CC(NC)=CC(C)=N2)OCC1)C3=NNC4=C3C=CC=C4
60,CCMSLIB00004722056,441.99,COc1cc(Br)cc2C=C(C(=O)Nc3cccc(c3)C(F)(F)F)C(=O)Oc12
61,CCMSLIB00004722057,459.181,CC1=C(C)C(NC(N2N=C(C)C=C2NC(C3=CC=C(S(=O)(N(CC)CC)=O)C=C3)=O)=N1)=O
62,CCMSLIB00004722058,475.182,O=C(N1CCN(CC2=CC=C(NS(=O)(C3=CC=C(C)C=C3)=O)C=C2)CC1)C4=CC(C#N)=CC=C4
63,CCMSLIB00004722059,491.177,O=C(N1CCN(CC2=CC=C(NS(=O)(C3=CC=C(OC)C=C3)=O)C=C2)CC1)C4=CC(C#N)=CC=C4
64,CCMSLIB00004722060,449.06,NCCN(C(=O)c1ccc(Cl)cc1Cl)c2ccc(OCc3ccc(Cl)cc3)cc2
65,CCMSLIB00004722061,368.269,COc1ccc(CCN2CCC(CC2)NCc3cccc(c3)N(C)C)cc1
66,CCMSLIB00004722062,408.234,CC(N1CCN(CC1)S(=O)(=O)c2ccc(cc2)C(C)(C)C)C(=O)N3CCCC3
67,CCMSLIB00004722063,357.197,C[C@@H](N1CCCC[C@H]1c2ccc(OCc3cccc(F)c3)cc2)C(=O)N
68,CCMSLIB00004722064,322.067,Clc1ccccc1CSCc2oc(cc2)C(=O)NC3CC3
69,CCMSLIB00004722065,415.147,Cc1cc(Cl)c(cc1OCC(=O)NC2CCCCC2)S(=O)(=O)N3CCCC3
70,CCMSLIB00004722066,317.187,CCCNC(=O)N1CCC2(CC1)CC(=O)c3cc(C)ccc3O2
71,CCMSLIB00004722067,380.152,CCCS(=O)(=O)N1CCC(CO)(Cc2ccccc2C(F)(F)F)CC1
72,CCMSLIB00004722068,322.192,CC(C)(C)CN1C(=NC(C1=O)(c2ccccc2)c3ccccc3)N
73,CCMSLIB00004722069,316.111,OCCNc1ccc(cc1)C(=O)C2C[C@H]2c3ccc(Cl)cc3
74,CCMSLIB00004722070,437.212,CNC(=O)C1Cc2c([nH]c3cc(Cl)ccc23)C4(CCN(CCc5ccccc5)CC4)N1
75,CCMSLIB00004722071,450.222,CN1CCC(CC1)NCc2cccc(c2)c3ccc(cc3)S(=O)(=O)NCc4ccccc4
76,CCMSLIB00004722072,377.167,CC(=O)N(CCN(C(=O)c1ccc(F)cc1)c2ccccc2)c3ccccc3
77,CCMSLIB00004722073,411.185,CCCCN(CCCC)c1c(cc(cc1C#N)S(=O)(=O)Nc2ccccc2)C#N
78,CCMSLIB00004722074,400.016,FC(F)(F)c1ccc(CN2C(=O)COCc3ccc(Br)cc23)cc1
79,CCMSLIB00004722075,490.289,CCCCc1ccc(NC(=O)Nc2ccc(O[C@H]3CCCC[C@@H]3N(C)c4ccccc4)c(F)c2)cc1
80,CCMSLIB00004722076,402.173,FC1=C(C=C(NC(=O)N2CCCC2)C=C1)C1=NC2=CC(=CN=C2N1)C1=CC=CC=C1
81,CCMSLIB00004722077,361.166,COc1cc(cc2cc(oc12)c3ccc(cc3)C4=NCCN4)C5=NCCN5
82,CCMSLIB00004722078,398.2,CC1=Nc2ccc(Cl)cc2C(O)(N1CCN3CCCCC3)c4ccc(C)cc4
83,CCMSLIB00004722079,403.084,NC(=N)Nc1ccc(cc1Cl)c2oc(cc2)c3ccc(N=C(N)N)c(Cl)c3
84,CCMSLIB00004722080,350.176,COc1cc(CN2CCC3(CC2)C=Cc4ccccc34)cc5OCOc15
85,CCMSLIB00004722081,336.119,CCC1=CC(=O)N(C)C(=N1)SC(C)C(=O)Nc2ccc(F)cc2
86,CCMSLIB00004722082,293.102,CC1=NC2=NC=CN2C(NC3=CC=C(C(F)(F)F)C=C3)=C1
87,CCMSLIB00004722083,355.166,CCC(NC(=O)c1ccccc1NC(=O)c2ccc(C)cc2)C(=O)OC
88,CCMSLIB00004722084,365.224,CCC(C)NC(=O)c1ccc(NC(=O)C2(CCCC2)c3ccccc3)cc1
89,CCMSLIB00004722085,347.117,CC(=O)N1CCN(CC1)c1ccc(Oc2ccc(Cl)cc2O)cc1
90,CCMSLIB00004722086,333.913,NC(CC(=O)c1ccc(Cl)cc1Cl)C(Cl)(Cl)Cl
91,CCMSLIB00004722087,300.16,CCOc1ccc(OCC(=O)Nc2cc(C)cc(C)c2)cc1
92,CCMSLIB00004722088,374.073,COc1ccc(cc1)C2(CCCC2)C(=O)Nc3ccc(Br)cc3
93,CCMSLIB00004722089,200.176,CCN(CC)C(=O)N1CCN(C)CC1
94,CCMSLIB00004722090,326.133,Cc1ccccc1C(=O)N2N=C(Nc3ccccc3)SC2(C)C
95,CCMSLIB00004722091,448.098,CC1=C(C(=O)c2c(F)cc(F)cc2N1)c3ccc(Oc4ccc(OC(F)(F)F)cc4)cc3
96,CCMSLIB00004722092,362.152,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O
97,CCMSLIB00004722093,357.198,C[C@@H](N1CCCC[C@@H]1c2ccc(OCc3cccc(F)c3)cc2)C(=O)N
98,CCMSLIB00004722094,679.142,CCP(=[Au]S[C@H]1O[C@@H](COC(=O)C)[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1OC(=O)C)(CC)CC
99,CCMSLIB00004722095,823.418,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C4=C(O)\C(=C/NN5CCN(C)CC5)\C(=N\C(=O)\C(=C/C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@@H]1C)\C)\C(=C4C(=C3C)O)O
100,CCMSLIB00004722096,315.163,CN1CCCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3
101,CCMSLIB00004722097,288.065,CC1CS(=O)(=O)CCN1\N=C\c2oc(cc2)[N+](=O)[O-]
102,CCMSLIB00004722098,409.138,CO\N=C(/C(=O)OC)\c1ccccc1CO\N=C(/C)\c2cccc(c2)C(F)(F)F
103,CCMSLIB00004722099,408.324,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C
104,CCMSLIB00004722100,310.142,CNCCC(Oc1ccc(cc1)C(F)(F)F)c2ccccc2
105,CCMSLIB00004722101,401.167,OC[C@H]1CN(C(=O)O1)c2cc(F)c(C3=CCN(Cc4ccccc4)CC3)c(F)c2
106,CCMSLIB00004722102,380.16,CC(C)NCC(=O)Nc1cccc(c1)C(=O)Nc2cccc(c2)C(F)(F)F
107,CCMSLIB00004722103,438.201,CCOc1ccccc1NC(C)C(=O)Nc2cc(ccc2N3CCOCC3)C(F)(F)F
108,CCMSLIB00004722104,409.136,CC(C)CNS(=O)(=O)c1ccc(CCC(=O)Nc2ccc(Cl)cc2C)cc1
109,CCMSLIB00004722105,443.348,CC(C)(C)C(=O)N(CCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)C2CCCCCC2
