Unnamed: 0.1,Unnamed: 0,row ID,smiles,row m/z,match_id,match_smiles,mps0,pp0,pair_similarity0,mps1,pp1,pair_similarity1,mps2,pp2,pair_similarity2,tanimoto,pair_similarity,mps,pp,mps_pp,mcs,max_pp,max_mps
7020,7020,52,COC1C=C2C(C(C3C(O)=C4C(OC5C4CCO5)=CC=3C2=O)=O)=C(OC)C=1,369.0978088,CNP0128834,O=C1C=2C=CC=C(O)C2C(=O)C=3C(O)=C(C(=O)CC)C(=CC13)CC(=O)OC,5.0,0.104166667,0.581990276,13.0,0.270833333,0.637951429,19.0,0.395833333,0.422846061,0.24,0.637951429,13.0,0.270833333,13.0,0.7647058823529411,0.395833333,19.0
7657,7657,57,[H][C@]12C(C)(CCC[C@@]1(C3(C(COC3=O)=C[C@H]2OC(/C=C/C=C/C(OC)OC)=O)O)C)C,443.2061462,CNP0221831,O=C1CC23OCOC3(CC(O2)C(OC4=CC=5OCOC5C=C4CC=C)(C)C)CC1CC=C,2.0,0.133333333,0.350916582,2.0,0.133333333,0.164148633,6.0,0.4,0.243729296,0.1176470588235294,0.350916582,2.0,0.133333333,2.0,0.4166666666666667,0.4,6.0
7880,7880,58,[H][C@]12C(C)(CCC[C@@]1(C3(C(COC3=O)=C[C@H]2OC(/C=C/C=C/C)=O)O)C)C,383.1839294,CNP0311705,O=C1C=C2C(O)CC3C(C(=O)CC4(C)C(C(=O)CO)CCC34)C2(C)CC1,0.0,0.0,0.0,5.0,0.2,0.152759387,12.0,0.48,0.076254997,0.146067415730337,0.152759387,5.0,0.2,5.0,0.5833333333333334,0.48,12.0
8049,8049,59,[H][C@]12C(C)(CCC[C@@]1(C3(C(COC3=O)=C[C@H]2OC(/C=C/C=C/CC(C)O)=O)O)C)C,427.2095947,NPA006868,C/C=C/C=C/C1=CC(=O)C2=C(O1)O[C@@]3(CC[C@@]4([C@@]5([C@H]3[C@H]2OC5)CCC(=O)C4(C)C)O)C,2.0,0.153846154,0.328344619,4.0,0.307692308,0.197344997,7.0,0.538461538,0.195550392,0.2105263157894736,0.328344619,2.0,0.153846154,2.0,0.5714285714285714,0.538461538,7.0
10612,10612,69,CC(C)[C@H]1[C@@H](O)C2C(=C3C(=CC=2)C[C@@H](C)OC3=O)O1,263.1282349,CMNPD27292,C1=CC(=CC(=O)[C@H](C(C(O)=O)=C)C2)[C@@]2(C)[C@@H](C)[C@H]1O,7.0,0.132075472,0.285609621,18.0,0.339622642,0.58888471,19.0,0.358490566,0.482165998,0.1492537313432835,0.58888471,18.0,0.339622642,18.0,0.5769230769230769,0.358490566,19.0
12088,12088,76,O=C1C=C[C@@]2(CC[C@@]([C@@]3(C(O[C@H](C)[C@@]3(O)C(O4)=O)=O)C([C@@]4(C)[C@H]5OC(C)=O)=C)(C)C5=C2C)C(C)(C)O1,523.194519,CNP0459861,FC1=CC=C(C=C1F)C2CC2NC3=NC(=NC4=C3N=NN4C5CC(OCCO)C(O)C5O)SCCC,1.0,0.052631579,0.529888153,4.0,0.210526316,0.450151305,6.0,0.315789474,0.397164893,0.081967213114754,0.529888153,1.0,0.052631579,1.0,0.5094339622641509,0.315789474,6.0
12269,12269,77,CCCCC1C(OC)=CC(=O)OC=1C,197.1167603,CNP0301157,OC1=CC=C(C=C1OC)CCC(O)C,5.0,0.074626866,0.454173449,19.0,0.28358209,0.523132365,25.0,0.373134328,0.422582805,0.2244897959183673,0.523132365,19.0,0.28358209,19.0,0.6470588235294118,0.373134328,25.0
12416,12416,79,CCCCC1C(OC)=CC(=O)OC=1CO,213.1111908,CMNPD16696,[C@@H]1(C)[C@H](O)CC(=C(C(O[C@H](C)C2)=O)[C@@]12[H])O,2.0,0.025,0.337581763,13.0,0.1625,0.350106346,28.0,0.35,0.425814941,0.125,0.425814941,28.0,0.35,28.0,0.631578947368421,0.35,28.0
12607,12607,81,CCC(CC1C(OC)=CC(=O)OC=1C)O,213.112381,CMNPD16696,[C@@H]1(C)[C@H](O)CC(=C(C(O[C@H](C)C2)=O)[C@@]12[H])O,2.0,0.029411765,0.543064743,10.0,0.147058824,0.449874735,25.0,0.367647059,0.40731539,0.125,0.543064743,2.0,0.029411765,2.0,0.631578947368421,0.367647059,25.0
12884,12884,83,CCCC(C1C(OC)=CC(=O)OC=1C)O,213.1116333,CMNPD16696,[C@@H]1(C)[C@H](O)CC(=C(C(O[C@H](C)C2)=O)[C@@]12[H])O,2.0,0.028571429,0.414199546,10.0,0.142857143,0.355286138,26.0,0.371428571,0.502023113,0.1272727272727272,0.502023113,26.0,0.371428571,26.0,0.7222222222222222,0.371428571,26.0
14463,14463,86,[C@]([H])12[C@@](C)(C)CCC[C@]1(C)[C@@H](CO)C(C)=CC2=O,237.1847382,CNP0134757,OCC(=C)C1CCC(O)(C)C2CC=C(C)C2C1,7.0,0.112903226,0.294096725,30.0,0.483870968,0.616227007,23.0,0.370967742,0.286036861,0.2203389830508474,0.616227007,30.0,0.483870968,30.0,0.6363636363636364,0.483870968,30.0
16504,16504,96,O=C(C1=C(O2)C=C(C)C(OC)=C1C(OC)=O)C3=C2C=CC=C3O,315.0882263,NPA006892,COC(=O)C1=C2C(=CC=C1)OC3=C(C2=O)C(=CC(=C3)CCO)O,1.0,0.066666667,0.487712294,3.0,0.2,0.341360585,6.0,0.4,0.245281026,0.4912280701754385,0.487712294,1.0,0.066666667,1.0,0.7857142857142857,0.4,6.0
17109,17109,98,CC(C)CC1NC(=O)C2CCCN2C1=O,211.144516,CNP0003763,O=C1N(C)C2CN(CC2OC1)CC3CC3,1.0,0.055555556,0.25232321,3.0,0.166666667,0.266809965,7.0,0.388888889,0.293231311,0.1818181818181818,0.293231311,7.0,0.388888889,7.0,0.65,0.388888889,7.0
17169,17169,100,CC(C=C)(C)C12C3=C(NC1N(C(C(C=CC=C4)=C4N5)=O)C(C5=O)C2)C=CC=C3,374.1877441,CNP0391939,O=C(N1CCC=2C=3C=CC=CC3NC2C41C(=O)N(C=5C=CC=CC54)C)C(C)C,2.0,0.04,0.068990416,2.0,0.04,0.047963229,17.0,0.34,0.152283416,0.1627906976744186,0.152283416,17.0,0.34,17.0,0.6410256410256411,0.34,17.0
