Unnamed: 0,row ID,smiles,row m/z,match_id,match_smiles,mps,pair_similarity,pp,mps_pp,mcs
921,69,CC(C)[C@H]1[C@@H](O)C2C(=C3C(=CC=2)C[C@@H](C)OC3=O)O1,263.1282349,CCMSLIB00000855217,CC\1=C2/C[C@H]3O[C@@]3(C)CCC4O[C@@]4(C)C[C@@]2(O)OC1=O,49,0.313443714,0.924528302,49,0.62962963
1171,32,OC1=CC(O)=C(C2=O)C(CC(O[C@H](CCCCC2)C)=O)=C1,293.1387329,CCMSLIB00000853332,CC1CCCCCC(=O)C2=C(CC(=O)O1)C=C(O)C=C2O,60,0.838436028,0.845070423,60,1.0
439,37,O=C(CO)C1=CNC2=CC=CC=C21,176.0708618,CCMSLIB00005720541,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,9,0.90874755,0.818181818,9,0.866666667
815,98,CC(C)CC1NC(=O)C2CCCN2C1=O,211.144516,CCMSLIB00000007049,CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N1,15,0.893774957,0.833333333,15,1.0
910,58,[H][C@]12C(C)(CCC[C@@]1(C3(C(COC3=O)=C[C@H]2OC(/C=C/C=C/C)=O)O)C)C,383.1839294,CCMSLIB00000080614,CC[C@H](C)/C=C(\C)/C=C/C1=CC2=CC(=O)[C@]3(C)OC(=O)[C@H]([C@@H]3C2=CO1)C(=O)C,23,0.22113143,0.92,23,0.414634146
1215,57,[H][C@]12C(C)(CCC[C@@]1(C3(C(COC3=O)=C[C@H]2OC(/C=C/C=C/C(OC)OC)=O)O)C)C,443.2061462,CCMSLIB00000852033,CC1OC(=O)C23C(=C)C(C)(CC4C(C)(O)C\5=C\C(=O)OC(C)(C)C5=C/CC24C)C(=O)C13O,14,0.248434834,0.933333333,14,0.47826087
1216,71,O=C1C=C[C@@]2(CC[C@@]([C@@]3(C(O[C@H](C)[C@@]34C(O5)=O)=O)C([C@@]5(C)[C@H]6O)=C)(C)[C@]6(O4)C2=C)C(C)(C)O1,457.1876831,CCMSLIB00000853908,CC1OC(=O)C23C(=C)C(C)(CC4C\5(C)OC(C6OC67C5=C\C(=O)OC7(C)C)C24C)C(=O)C13O,181,0.577544148,0.874396135,181,0.75
1603,63,CCC[C@@H]1O[C@](C)2[C@@](OC(C3C2=CC(OC)=C(OC)C=3O)=O)(C)C1,309.1341248,CCMSLIB00000847759,COC1=CC(OC)=C2C(=O)OC(CC(O)CC(C)O)=CC2=C1,79,0.246478353,0.840425532,79,0.75
1609,96,O=C(C1=C(O2)C=C(C)C(OC)=C1C(OC)=O)C3=C2C=CC=C3O,315.0882263,CCMSLIB00004704830,COC1=CC=C(C=C1)C2=COC3=C(C(=C(C=C3C2=O)OC)O)O,13,0.056723868,0.866666667,13,0.666666667
2829,43,O[C@H](C(C)(C)[C@@H]1CC/C(C)=C/CC/C(C)=C/CC2=C(O)C=C(C)OC2=O)CCC1=C,415.2817688,CCMSLIB00009923720,O=C1C=2C(O)=CC(O)=CC2OC(C3=CC=C(OC)C(O)=C3)C1,40,0.327075727,0.85106383,40,0.30952381
4562,94,COC(=O)C12OC3C(C(=O)C1=C(O)CC(C)C2O)=C(O)C(C1C=CC2OC4(C(O)C(C)CC(O)=C4C(=O)C=2C=1O)C(=O)OC)=CC=3,639.1755371,CCMSLIB00000478098,OC1=C(C(C(C(O)=C(C2=CC=C(O[C@]3(C(OC)=O)C(C4=O)=C(O)C[C@H](C)[C@H]3O)C4=C2O)C=C5)=C5O6)=O)C6(C(OC)=O)[C@H](O)[C@@H](C)C1,30,0.62191727,0.810810811,30,1.0
