row ID,row m/z,row retention time,Kutz43850OSMAC-GSM.mzML Peak area,Kutz43850OSMAC-GSM_con.mzML Peak area,Kutz43850OSMAC-2216E.mzML Peak area,Kutz43850OSMAC-2216E_con.mzML Peak area,Kutz43850OSMAC-LB.mzML Peak area,Kutz43850OSMAC-LB_con.mzML Peak area,Kutz43850OSMAC-M42.mzML Peak area,Kutz43850OSMAC-M42_con.mzML Peak area,Kutz43850OSMAC-MHB.mzML Peak area,Kutz43850OSMAC-MHB_con.mzML Peak area,Kutz43850OSMAC-R2A.mzML Peak area,Kutz43850OSMAC-R2A_con.mzML Peak area,Kutz43850OSMAC-TSB.mzML Peak area,Kutz43850OSMAC-TSB_con.mzML Peak area
421,472.2773364,7.505116667,0,0,126249.0575,0,0,0,0,0,0,0,0,0,0,0
424,261.1231111,8.202911111,0,0,134133.835,0,0,0,0,0,438677.041,0,0,0,248996.7505,0
426,202.9711662,0.872116667,0,0,94905.97225,0,0,0,0,0,0,0,0,0,0,0
429,286.1758984,5.583883333,0,0,139673.9332,0,0,0,0,0,0,0,0,0,0,0
432,546.7717372,6.967366667,0,0,189091.8648,0,0,0,0,0,0,0,0,0,0,0
441,492.2437655,6.1955,0,0,123195.0107,0,0,0,0,0,0,0,0,0,0,0
526,542.2825824,8.282816667,0,0,0,0,1715534.784,0,0,0,1963812.973,0,0,0,0,0
532,459.260499,9.639333333,0,0,0,0,1927487.579,0,0,0,3780063.086,0,0,0,0,0
534,227.1018975,3.723758333,0,0,0,0,1521396.891,0,0,0,3045838.656,0,0,0,0,0
535,257.1471054,0.969633333,0,0,0,0,441499.7797,0,301611.2025,0,0,0,0,0,0,0
543,198.0847365,0.97765,0,0,0,0,521434.5317,0,0,0,620146.8562,0,0,0,201959.1812,0
547,461.2742885,10.18804167,0,0,0,0,1148196.348,0,0,0,1037584.883,0,0,0,0,0
553,295.2237242,17.24822222,0,0,0,0,361240.059,0,0,0,900487.362,0,0,0,114383.795,0
554,268.1651284,6.095994444,0,0,0,0,425959.4872,0,206295.6933,0,0,0,260556.9743,0,0,0
567,321.2393872,17.8916,0,0,0,0,214387.7195,0,0,0,467312.8752,0,0,0,0,0
568,449.2377787,6.415266667,0,0,0,0,471786.4193,0,0,0,1277585.568,0,0,0,0,0
572,475.2409282,7.50615,0,0,0,0,239833.4967,0,0,0,0,0,0,0,0,0
573,558.2899161,13.10441667,0,0,0,0,291242.7747,0,0,0,0,0,0,0,0,0
576,217.1239254,1.275658333,0,0,0,0,672923.3705,0,0,0,89650.346,0,0,0,0,0
577,277.1185431,8.917641667,0,0,0,0,294314.7918,0,0,0,203051.4643,0,0,0,0,0
579,247.1285395,5.1782,0,0,0,0,263114.0613,0,0,0,243420.804,0,0,0,0,0
580,307.2233372,17.54390833,0,0,0,0,241816.3022,0,0,0,0,0,0,0,97410.09725,0
581,265.1159165,8.174333333,0,0,0,0,261048.687,0,0,0,0,0,0,0,0,0
585,159.0762688,0.991558333,0,0,0,0,255110.674,0,0,0,349718.414,0,0,0,0,0
587,219.1336826,4.830958333,0,0,0,0,216720.9255,0,0,0,149850.294,0,0,0,0,0
588,554.3189483,11.61976667,0,0,0,0,314081.5323,0,0,0,0,0,0,0,0,0
589,467.2564208,12.3021,0,0,0,0,369869.1735,0,0,0,0,0,0,0,0,0
593,195.0762542,1.902533333,0,0,0,0,301997.878,0,0,0,398812.7652,0,0,0,0,0
594,368.1455952,4.257658333,0,0,0,0,260162.7035,0,0,0,196985.3492,0,0,0,0,0
596,454.303348,2.029375,0,0,0,0,527809.297,0,0,0,757384.9525,0,0,0,0,0
600,173.0918568,1.073077778,0,0,0,0,297936.9558,0,0,0,856140.3718,0,0,0,385583.5645,0
601,564.2655939,8.282816667,0,0,0,0,268961.628,0,0,0,210038.009,0,0,0,0,0
602,467.2563813,12.50565,0,0,0,0,306277.413,0,0,0,0,0,0,0,0,0
603,229.1547435,7.163783333,0,0,0,0,171178.2455,0,0,0,0,0,0,0,0,0
604,475.2413349,7.27805,0,0,0,0,157289.4645,0,0,0,0,0,0,0,0,0
606,229.1006971,7.035616667,0,0,0,0,146904.897,0,0,0,0,0,0,0,0,0
607,505.2153318,6.182783333,0,0,0,0,161872.5278,0,0,0,0,0,0,0,0,0
608,477.1968169,8.088866667,0,0,0,0,191315.3388,0,0,0,0,0,0,0,0,0
610,510.2335914,6.764966667,0,0,0,0,497422.7873,0,0,0,0,0,0,0,0,0
612,614.3044873,11.26986667,0,0,0,0,148421.5347,0,0,0,0,0,0,0,0,0
614,453.2099499,5.15325,0,0,0,0,157546.4023,0,0,0,0,0,0,0,0,0
615,229.1546282,7.27805,0,0,0,0,161256.2558,0,0,0,0,0,0,0,0,0
616,290.1471208,6.100627778,0,0,0,0,173544.2095,0,307465.575,0,0,0,375313.5318,0,0,0
619,282.2790937,19.02342778,0,0,0,0,111996.8535,0,0,0,114814.1962,0,1218127.865,0,0,0
623,326.2072432,13.10441667,0,0,0,0,203880.2717,0,0,0,0,0,0,0,0,0
624,197.1282761,8.145883333,0,0,0,0,133004.1245,0,0,0,0,0,0,0,0,0
626,273.0330461,13.370175,0,0,0,0,105702.5993,0,0,0,98616.28225,0,0,0,0,0
628,187.1078939,1.320683333,0,0,0,0,298615.6782,0,0,0,0,0,0,0,0,0
629,343.1978175,5.579833333,0,0,0,0,97906.7825,0,0,0,1003935.637,0,0,0,0,0
630,118.0647374,5.393933333,0,0,0,0,148852.3037,0,0,0,0,0,0,0,0,0
633,159.0915962,5.42215,0,0,0,0,138085.8957,0,0,0,0,0,0,0,0,0
635,220.067073,0.953522222,0,0,0,0,80638.879,0,0,0,75579.802,0,0,0,68342.7,0
636,276.1345238,6.153983333,0,0,0,0,97909.67325,0,0,0,0,0,0,0,0,0
642,229.1007715,7.605016667,0,0,0,0,83943.30625,0,0,0,0,0,0,0,0,0
644,309.2388429,17.700925,0,0,0,0,92083.08925,0,0,0,195698.2478,0,0,0,0,0
645,227.1027445,3.279166667,0,0,0,0,102351.7175,0,0,0,0,0,0,0,0,0
646,233.1262479,9.138883333,0,0,0,0,83593.76075,0,0,0,0,0,0,0,0,0
649,337.1478215,9.64205,0,0,0,0,234283.0777,0,0,0,0,0,0,0,0,0
650,243.134189,7.475841667,0,0,0,0,47450.0345,0,0,0,124598.7355,0,0,0,0,0
862,527.1598836,1.004333333,0,0,0,0,0,0,304418.0497,0,0,0,0,0,0,0
863,449.4329858,21.54301667,0,0,0,0,0,0,153005.678,0,0,0,0,0,0,0
864,543.1338285,1.018366667,0,0,0,0,0,0,204635.6382,0,0,0,0,0,0,0
867,200.174731,0.87575,0,0,0,0,0,0,104385.5188,0,0,0,0,0,0,0
868,220.1170893,4.433916667,0,0,0,0,0,0,116516.6935,0,0,0,0,0,0,0
869,301.2112244,19.54661667,0,0,0,0,0,0,58429.296,0,0,0,0,0,485061.206,0
870,301.1408646,16.94711667,0,0,0,0,0,0,0,0,5978948.163,0,0,0,0,0
872,427.1515472,0.891566667,0,0,0,0,0,0,0,0,341469.2532,0,0,0,0,0
876,642.3109555,7.972783333,0,0,0,0,0,0,0,0,803379.0613,0,0,0,0,0
877,527.2526304,0.877466667,0,0,0,0,0,0,0,0,143677.5728,0,0,0,0,0
878,747.9153916,12.80165,0,0,0,0,0,0,0,0,712628.717,0,0,0,0,0
879,309.2034485,14.46855,0,0,0,0,0,0,0,0,469019.8747,0,0,0,0,0
880,777.3776193,10.20715,0,0,0,0,0,0,0,0,407942.9445,0,0,0,0,0
882,550.2881936,11.7449,0,0,0,0,0,0,0,0,408599.1453,0,0,0,0,0
883,253.1297066,0.977033333,0,0,0,0,0,0,0,0,247100.3095,0,0,0,0,0
884,389.1924177,10.23526667,0,0,0,0,0,0,0,0,202754.1065,0,0,0,0,0
885,549.2431766,8.016016667,0,0,0,0,0,0,0,0,369045.849,0,0,0,0,0
886,389.1922386,10.26315,0,0,0,0,0,0,0,0,210883.8742,0,0,0,0,0
887,281.2092685,16.71353333,0,0,0,0,0,0,0,0,266752.0665,0,0,0,0,0
891,453.1989048,3.700333333,0,0,0,0,0,0,0,0,343766.4418,0,0,0,0,0
892,185.1282338,7.929866667,0,0,0,0,0,0,0,0,228946.2195,0,0,0,0,0
893,267.1926992,16.1233,0,0,0,0,0,0,0,0,174646.3775,0,0,0,0,0
894,228.1338969,4.51235,0,0,0,0,0,0,0,0,253040.7227,0,0,0,0,0
897,690.4012362,12.36663333,0,0,0,0,0,0,0,0,461944.2602,0,0,0,0,0
898,227.1750325,12.20666667,0,0,0,0,0,0,0,0,190732.303,0,0,0,0,0
899,429.199021,2.132866667,0,0,0,0,0,0,0,0,391999.154,0,0,0,0,0
901,300.1557957,7.34475,0,0,0,0,0,0,0,0,192774.618,0,0,0,0,0
904,247.110774,4.412,0,0,0,0,0,0,0,0,618541.4727,0,0,0,0,0
908,429.1990665,1.992583333,0,0,0,0,0,0,0,0,116874.9402,0,0,0,0,0
909,758.3594209,7.687483333,0,0,0,0,0,0,0,0,264171.8082,0,0,0,0,0
911,887.3886256,11.67393333,0,0,0,0,0,0,0,0,59903.669,0,0,0,0,0
912,997.5147767,8.420216667,0,0,0,0,0,0,0,0,297629.3468,0,0,0,0,0
913,732.3926176,10.37625,0,0,0,0,0,0,0,0,170768.9437,0,0,0,0,0
915,488.2517003,6.279983333,0,0,0,0,0,0,0,0,166066.044,0,0,0,0,0
916,252.0960767,1.0482,0,0,0,0,0,0,0,0,210495.4988,0,0,0,0,0
919,195.0748874,1.076616667,0,0,0,0,0,0,0,0,195765.14,0,0,0,0,0
920,821.4286707,4.325283333,0,0,0,0,0,0,0,0,256015.1225,0,0,0,0,0
926,615.3369151,8.8271,0,0,0,0,0,0,0,0,137557.9485,0,0,0,0,0
927,311.2190629,14.97598333,0,0,0,0,0,0,0,0,142187.1857,0,0,0,0,0
930,293.1134572,5.90985,0,0,0,0,0,0,0,0,115573.9083,0,0,0,0,0
931,664.2935219,7.98715,0,0,0,0,0,0,0,0,201247.8673,0,0,0,0,0
932,499.2608188,8.405683333,0,0,0,0,0,0,0,0,353476.6168,0,0,0,0,0
933,457.2646442,8.711533333,0,0,0,0,0,0,0,0,164650.0178,0,0,0,0,0
935,249.0846339,3.728366667,0,0,0,0,0,0,0,0,228312.6265,0,0,0,0,0
936,811.9445177,12.39565,0,0,0,0,0,0,0,0,174093.803,0,0,0,0,0
937,227.17522,12.39565,0,0,0,0,0,0,0,0,118782.1778,0,0,0,0,0
939,358.2343625,8.521683333,0,0,0,0,0,0,0,0,155794.0282,0,0,0,0,0
940,215.1390094,4.71005,0,0,0,0,0,0,0,0,152966.7397,0,0,0,0,0
941,511.2523014,3.1557,0,0,0,0,0,0,0,0,285770.9292,0,0,0,0,0
942,475.1810334,3.74255,0,0,0,0,0,0,0,0,196274.6667,0,0,0,0,0
943,225.1235201,7.459466667,0,0,0,0,0,0,0,0,134980.6688,0,0,0,0,0
944,568.2173725,8.001566667,0,0,0,0,0,0,0,0,116043.9735,0,0,0,0,0
945,269.1261975,11.36713333,0,0,0,0,0,0,0,0,104627.3755,0,0,0,0,0
946,284.1972204,8.638016667,0,0,0,0,0,0,0,0,145016.316,0,0,0,0,0
949,116.0702366,5.32975,0,0,0,0,0,0,0,0,420982.5082,0,0,0,0,0
950,263.1064232,1.3166,0,0,0,0,0,0,0,0,200536.6735,0,0,0,0,0
952,306.27654,19.55612222,0,0,0,0,0,0,0,0,65400.2105,0,265408.969,0,101242.5672,0
953,245.1133257,1.429066667,0,0,0,0,0,0,0,0,242934.33,0,0,0,0,0
954,407.1933584,6.702066667,0,0,0,0,0,0,0,0,96423.92975,0,0,0,0,0
955,228.1704792,1.992583333,0,0,0,0,0,0,0,0,64589.38675,0,0,0,0,0
956,481.2437138,9.5942,0,0,0,0,0,0,0,0,236107.728,0,0,0,0,0
957,323.2192341,15.1649,0,0,0,0,0,0,0,0,150609.3007,0,0,0,0,0
959,306.1791891,8.667416667,0,0,0,0,0,0,0,0,102379.579,0,0,0,0,0
960,654.3485623,13.09171667,0,0,0,0,0,0,0,0,172007.3105,0,0,0,0,0
961,901.3880774,7.301766667,0,0,0,0,0,0,0,0,81909.1335,0,0,0,0,0
962,211.1076816,5.287416667,0,0,0,0,0,0,0,0,68716.2025,0,0,0,0,0
963,589.2844371,5.639666667,0,0,0,0,0,0,0,0,83508.0095,0,0,0,0,0
964,201.1233508,5.710833333,0,0,0,0,0,0,0,0,77773.4855,0,0,0,0,0
1303,302.2450438,18.5384,0,0,0,0,0,0,0,0,0,0,611040.461,0,0,0
1304,278.2449764,18.81238333,0,0,0,0,0,0,0,0,0,0,212019.7362,0,0,0
1305,256.2629781,18.81364167,0,0,0,0,0,0,0,0,0,0,182934.2812,0,51895.163,0
1306,284.2945598,19.54395833,0,0,0,0,0,0,0,0,0,0,165381.1265,0,66431.9675,0
1308,453.1684991,15.56446667,0,0,0,0,0,0,0,0,0,0,96055.95425,0,0,0
1309,491.4802937,22.61468333,0,0,0,0,0,0,0,0,0,0,65363.7895,0,0,0
1310,280.2638156,18.5384,0,0,0,0,0,0,0,0,0,0,74945.0745,0,0,0
1333,329.2417167,20.26335,0,0,0,0,0,0,0,0,0,0,0,0,463720.6405,0
1334,323.2250119,20.23501667,0,0,0,0,0,0,0,0,0,0,0,0,353496.203,0
1335,124.038608,1.40915,0,0,0,0,0,0,0,0,0,0,0,0,202860.5155,0
1336,162.1118542,0.964083333,0,0,0,0,0,0,0,0,0,0,0,0,93538.44925,0
1337,427.246359,6.34825,0,0,0,0,0,0,0,0,0,0,0,0,386584.8123,0
1338,437.1862778,19.52396667,0,0,0,0,0,0,0,0,0,0,0,0,152717.2095,0
1339,153.0399166,1.580333333,0,0,0,0,0,0,0,0,0,0,0,0,118070.8323,0
1340,185.0918468,1.623283333,0,0,0,0,0,0,0,0,0,0,0,0,133153.098,0
1342,227.1026072,1.437916667,0,0,0,0,0,0,0,0,0,0,0,0,242236.527,0
